year,household_id,broad_income,taxable_income,mtr,mtr_prime
2023,49073,12005.0,0.0,0.0,-0.01755132734693381
2023,46124,104902.0,74800.8,0.1965,0.1883084496729159
2023,61938,138201.0,117086.68,0.3165,0.30669730427792774
2023,68872,49092.0,31501.2,0.1965,0.15991212963455714
2023,45819,2000.0,0.0,0.0765,0.08390300549610293
2023,48718,118185.0,97295.0,0.34149998,0.348026366068871
2023,11800,130015.0,82260.2,0.36147654,0.36160437698155223
2023,47990,0.0,0.0,0.0,-0.005864678334378673
2023,17195,247218.0,195118.25,0.348,0.3126157214351593
2023,29285,40099.0,26217.32,0.24659765,0.23608151459779717
2023,39898,185353.0,127620.04,0.34467185,0.33610398252292695
2023,64122,42003.0,0.0,0.27749997,0.25744304204341584
2023,6858,5009.0,0.0,-0.0009492636,-0.0049814063643431
2023,63741,141445.0,108660.59,0.29650003,0.30660129860008145
2023,76603,109000.0,81300.0,0.1965,0.24365465086812338
2023,60013,106314.0,57581.36,0.24400002,0.24836446296377082
2023,17767,102500.0,58000.0,0.22799999,0.2344387449861172
2023,32260,5988.0,0.0,0.063878894,0.062017745958079705
2023,45203,70051.0,42214.68,0.1965,0.14853072295538405
2023,11070,2035.0,0.0,-0.031620026,-0.03228287252099605
2023,80431,30000.0,0.0,0.19651562,0.19802137500331693
2023,42675,97525.0,61217.0,0.254,0.31558106091836385
2023,8735,94000.0,78350.0,0.3929844,0.388175366139261
2023,25486,108974.0,65123.516,0.24510938,0.25264806284987473
2023,17543,120006.0,84104.08,0.22799999,0.227132190975417
2023,7877,77602.0,44069.36,0.30683982,0.27762287278235104
2023,38108,0.0,0.0,0.4195996,0.448170163048575
2023,36153,107544.0,68779.92,0.35399997,0.37279829816061416
2023,800,45200.0,42329.273,0.284418,0.30419378554588816
2023,46768,8000.0,0.0,0.0765,0.05376531219962005
2023,21008,98000.0,56450.0,0.23699999,0.2720698463293107
2023,62761,51999.0,24185.0,0.40709376,0.3720474867816334
2023,60442,77447.0,58603.96,0.29650003,0.3111714545247248
2023,47204,63008.0,32665.441,0.1965,0.2512613939831096
2023,6784,107050.0,70154.0,0.35149997,0.3267365665993634
2023,47789,42000.0,13380.0,0.23680079,0.22264334659299956
2023,13128,30000.0,9200.0,0.36699998,0.36949126791472764
2023,84189,58100.0,30168.0,0.95339847,0.9408115747573245
2023,79056,69219.0,66297.99,0.0,-0.03876658577665332
2023,80825,51000.0,37150.0,0.26950002,0.2712140915362884
2023,86005,71723.0,79942.28,0.38950002,0.36294242909135666
2023,13157,178550.0,136482.0,0.32720315,0.33904296532978334
2023,48898,140202.0,92145.28,0.34149998,0.3185143784085287
2023,40750,0.0,0.0,0.0,0.03874836012543849
2023,30817,70250.0,50080.0,0.3535,0.33391867627466293
2023,82989,47000.0,53279.953,0.36949998,0.3614484434982089
2023,76685,23000.0,0.0,0.0765,0.09683792900373027
2023,21795,0.0,0.0,0.0,-0.030771607910848882
2023,54879,45000.0,26531.074,0.0,0.005686498365103236
2023,22919,8001.0,0.0,0.0,0.032678568857060705
2023,70573,88354.0,52541.04,0.245,0.2048129239043409
2023,74216,0.0,0.0,0.16110158,0.1657174261294453
2023,10916,112400.0,57000.0,0.21399999,0.22049705650477017
2023,8971,52400.0,53710.0,0.38741016,0.4069557356738273
2023,21200,202023.0,151320.62,0.337,0.30607624462581406
2023,78855,189844.0,132808.69,0.39099997,0.3579885574931751
2023,46659,9879.0,0.0,0.0,0.013048539140422442
2023,24219,87021.0,56636.28,0.26450002,0.27192463876533896
2023,10661,212000.0,175880.0,0.36018747,0.36644979217158025
2023,10074,130202.0,72538.11,0.35149997,0.36016117996505503
2023,64284,15000.0,0.0,0.3765,0.3594993924509552
2023,36616,25000.0,0.0,0.0765,0.08230634099851361
2023,82165,25000.0,0.0,0.7126367,0.7199635210457239
2023,9745,50500.0,14940.0,0.834,0.8161412059662719
2023,44245,0.0,0.0,0.0765,0.12314436134810744
2023,10745,200175.0,180669.0,0.31946874,0.33131455967135426
2023,13896,59633.0,23493.0,0.282,0.2522174178151425
2023,33690,286895.0,253408.6,0.4105,0.4269138302022654
2023,4885,366270.0,312905.62,0.376,0.3516329453697137
2023,44996,135000.0,107300.0,0.29650003,0.3161771422732793
2023,13572,111738.0,76981.84,0.22719532,0.25616021198876543
2023,29412,169721.0,125660.68,0.36290628,0.34238921922092524
2023,42949,140396.0,103472.2,0.35399997,0.3780843755745529
2023,7324,192800.0,173090.0,0.31449997,0.3248194974242059
2023,50204,0.0,0.0,0.3152002,0.335751713617477
2023,65438,253553.0,222034.75,0.29189062,0.3393104457516514
2023,16561,187111.0,102499.57,0.22337502,0.21724031951127468
2023,17050,129400.0,88592.0,0.24220312,0.2233597123079939
2023,27925,60034.0,64403.125,0.29650003,0.2742621664390799
2023,582,213298.0,197799.03,0.3826406,0.3622453430803318
2023,42567,24000.0,10150.0,0.23699999,0.2350724458205556
2023,39702,21002.0,0.0,0.12850392,0.1370327180181822
2023,78247,281300.0,232284.0,0.36028123,0.3671984990024155
2023,59663,0.0,0.0,0.0,0.020679581225900596
2023,31999,134001.0,115950.68,0.36900002,0.3693250649399225
2023,11252,285653.0,169676.03,0.36020315,0.3965414988634422
2023,47335,157000.0,75507.41,0.1965,0.1898835825069112
2023,51011,51204.0,7519.0,0.17919922,0.24720344791474047
2023,64419,107760.0,59494.08,0.1965,0.21214168703198527
2023,50979,263582.0,186008.88,0.29650003,0.2750710882693109
2023,41418,235000.0,181300.0,0.36049998,0.33372766561396294
2023,19559,4827.0,0.0,0.0,0.012061810381079632
2023,31986,108000.0,100154.2,0.0,-0.005586569633146273
2023,63013,17000.0,3150.0,0.24633986,0.2641898699305799
2023,84114,76000.0,35248.906,0.2676875,0.2795184401375015
2023,48924,101941.0,62977.68,0.24150002,0.23967929721073883
2023,57867,181160.0,115469.8,0.35900003,0.33783018422800787
2023,45336,27832.0,6855.451,0.2946406,0.2567694200641583
2023,57042,63003.0,27751.36,0.23150003,0.2203371557622283
2023,31977,229010.0,191306.81,0.36900002,0.39040998750106165
2023,12242,222205.0,168399.4,0.32718748,0.332539822145583
2023,17331,75501.0,36480.68,0.22799999,0.1968565157502484
2023,60641,15515.0,0.0,0.0,0.00432952314627955
2023,51804,0.0,0.0,0.2745,0.28413294689098706
2023,77024,152000.0,96800.0,0.32231247,0.30021603834576516
2023,49658,109900.0,57742.0,0.24150002,0.24534314767579884
2023,44939,125000.0,83450.0,0.1965,0.1979552212990101
2023,50258,47851.0,20114.797,0.33630466,0.3077304071660508
2023,47951,0.0,0.0,0.0,0.008944684008707083
2023,20408,153006.0,168689.2,0.0,0.01401961315920586
2023,10656,0.0,0.0,0.120000005,0.1470762858477535
2023,74389,167600.0,120300.0,0.3215,0.34784505463873266
2023,44746,227855.0,190583.0,0.29650003,0.26205829298079075
2023,43425,99961.0,53569.68,0.28395313,0.26050750424733066
2023,73890,204400.0,148052.6,0.3215,0.3343758850180766
2023,15212,0.0,0.0,0.07650095,0.08934560101661015
2023,4241,118691.0,84661.88,0.34649998,0.3593761716536534
2023,51285,7000.0,0.0,0.0765,0.17281828583585657
2023,5397,213902.0,143623.69,0.334,0.34827225418426033
2023,35582,22050.0,0.0,0.0765,0.1048891395740035
2023,53622,32002.0,0.0,0.23630077,0.26015081055537814
2023,60842,18601.0,0.0,0.64129496,0.6575797374899204
2023,56107,227720.0,215579.6,0.3635,0.35561826793031703
2023,3121,33427.0,0.0,0.0,0.018974230512331686
2023,7134,0.0,0.0,0.0,-0.019320630363439298
2023,83512,0.0,0.0,0.024474978,0.01855451327846023
2023,32218,90852.0,82971.36,0.34399998,0.3318658931844604
2023,22513,26796.0,21578.719,0.0,0.002046853484658064
2023,78957,91010.0,62306.8,0.2805,0.338366458921629
2023,85340,179511.0,157452.69,0.4225,0.375818384490321
2023,60373,35600.0,28194.75,0.2985,0.3156565061898743
2023,72837,81019.0,64786.0,0.3455,0.3051820955908642
2023,7403,33126.0,1870.416,0.31917185,0.3073735492681975
2023,60149,5702.0,0.0,0.0,0.027223764924184154
2023,43101,0.0,0.0,0.13349998,0.13510698045022593
2023,77424,251600.0,131450.0,0.30229688,0.275353257459116
2023,2524,325841.0,264285.88,0.39249998,0.37461739057920024
2023,53159,105004.0,68342.72,0.24049997,0.257489917020486
2023,52229,27000.0,8730.0,0.21967578,0.20141661354972296
2023,83929,90413.0,59868.04,0.26950002,0.2749114819056871
2023,46307,42994.0,50157.523,0.0,0.0011392959975953447
2023,43834,63000.0,35030.0,0.254,0.23770999941608625
2023,80026,174000.0,98276.0,0.38950002,0.44309862416764245
2023,13062,88011.0,73727.086,0.3271953,0.3430432623087437
2023,27925,60034.0,64403.125,0.29650003,0.24587146251327785
2023,18929,56003.0,30539.277,0.26016408,0.2648254399195592
2023,71768,78035.0,46135.797,0.24550003,0.22895536651418263
2023,71267,34000.0,6300.0,0.48275,0.5040608319393941
2023,58497,15000.0,1100.0,0.46616507,0.44635204730456335
2023,52939,5000.0,0.0,0.11650002,0.11363160899048817
2023,24363,115644.0,78129.92,0.25349998,0.2661246667157224
